bookID,title,author,rating,pages
385,On Bullshit,Harry G. Frankfurt,3.57,67
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347
394,Lincoln at Gettysburg,Garry Wills,4.14,317
397,The Gettysburg Address,Abraham Lincoln,4.53,32
399,Underworld,Don DeLillo,3.92,827
400,Libra,Don DeLillo,3.99,480
403,Americana,Don DeLillo,3.43,377
404,Running Dog,Don DeLillo,3.43,256
406,Cosmopolis,Don DeLillo,3.22,224
407,Great Jones Street,Don DeLillo,3.48,272
408,The Names,Don DeLillo,3.64,339
409,Against the Day,Thomas Pynchon,4.13,1085
410,V.,Thomas Pynchon,3.96,547
411,The Crying of Lot 49,Thomas Pynchon,3.69,152
412,Gravity's Rainbow,Thomas Pynchon,4.01,784
413,Mason & Dixon,Thomas Pynchon,4.07,773
414,Vineland,Thomas Pynchon,3.69,385
416,Slow Learner,Thomas Pynchon,3.5,193
418,Been Down So Long It Looks Like Up To Me,Richard Faria,3.8,352
420,The Year of Magical Thinking,Joan Didion,3.89,227
421,The White Album,Joan Didion,4.17,222
422,A Book of Common Prayer,Joan Didion,3.8,272
423,Where I Was From,Joan Didion,3.86,240
424,Slouching Towards Bethlehem,Joan Didion,4.21,238
425,Democracy,Joan Didion,3.81,234
426,We Tell Ourselves Stories in Order to Live,Joan Didion,4.5,1122
428,Play It As It Lays,Joan Didion,3.87,231
431,The New York Trilogy,Paul Auster,3.89,308
432,City of Glass,Paul Auster,3.79,203
434,Ghosts,Paul Auster,3.64,96
435,The Locked Room,Paul Auster,3.89,179
444,Pyramids of Montauk,Peter Moon,3.89,256
446,The Brooklyn Follies,Paul Auster,3.84,306
447,Moon Palace,Paul Auster,3.94,320
453,The Music of Chance,Paul Auster,3.9,217
454,Travels in the Scriptorium,Paul Auster,3.23,145
456,Leviathan,Paul Auster,3.96,275
463,The Red Notebook,Paul Auster,3.77,104
475,Collapse,Jared Diamond,3.93,608
476,The Coming Economic Collapse,Stephen Leeb,3.4,211
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,262
478,Bowling Alone,Robert D. Putnam,3.8,544
481,The Collapse of the Common Good,Philip K. Howard,3.91,272
484,Reinventing the Enemy's Language,Joy Harjo,4.39,576
493,My Inventions,Nikola Tesla,4.01,88
494,Wizard,Marc J. Seifer,3.78,542
497,Nikola Tesla,Carol Dommermuth-Costa,3.93,144
498,Tesla Papers,Nikola Tesla,4.13,100
511,Boys of Summer,Julie Elizabeth Leto,3.77,249
515,Programming Ruby,Dave Thomas,4.03,828
523,Golding's Lord of the Flies,Maureen Kelly,3.95,112
524,Lord of the Flies,William Golding,3.68,6
531,A War Like No Other,Victor Davis Hanson,4.11,397
534,We Were Not Like Other People,Ephraim Sevela,4.14,216
537,The Lovely Bones,Alice Sebold,3.81,328
539,Lovely in Her Bones,Sharyn McCrumb,3.8,224
565,The Zen of CSS Design,Dave Shea,3.98,296
570,HTML XHTML and CSS,Elizabeth Castro,3.8,456
597,Killing Yourself to Live,Chuck Klosterman,3.81,245
599,Sex Drugs and Cocoa Puffs,Chuck Klosterman,3.73,272
619,Vice,Jane Feather,3.51,419
629,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,3.77,540
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley,4.08,32
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto,3.72,408
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,222
650,LOGO Lounge,Catharine M. Fishel,3.93,191
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy,4.11,304
656,War and Peace,Leo Tolstoy,4.11,1392
658,The Kingdom of God Is Within You,Leo Tolstoy,4.13,352
662,Atlas Shrugged,Ayn Rand,3.69,1168
663,For the New Intellectual,Ayn Rand,3.68,224
664,The Fountainhead,Ayn Rand,3.87,752
665,The Virtue of Selfishness,Ayn Rand,3.51,176
667,Anthem,Ayn Rand,3.63,105
668,We the Living,Ayn Rand,3.91,464
669,Capitalism,Ayn Rand,3.88,340
670,Letters of Ayn Rand,Ayn Rand,3.96,681
672,Sailing for Dummies,J.J. Isler,3.95,416
675,Sailing from Byzantium,Colin Wells,3.88,368
676,Sailing Alone Around the Room,Billy Collins,4.23,192
678,The Greatest Sailing Stories Ever Told,Christopher Caswell,3.62,286
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,571
685,The Natural,Bernard Malamud,3.63,231
698,Digging to America,Anne Tyler,3.55,277
700,Rereading America,Gary Colombo,3.77,826
702,Modern Latin America,Thomas E. Skidmore,3.59,528
703,The Plot Against America,Philip Roth,3.77,391
707,Naked Pictures of Famous People,Jon Stewart,3.59,164
759,Collected Stories,Gabriel Garca Mrquez,4.19,352
765,Living to Tell the Tale,Gabriel Garca Mrquez,3.99,533
771,The Elegant Universe,Brian Greene,4.07,425
775,Pure and Simple,Upasika Kee Nanayon,4.29,288
787,The Mini Rough Guide to London,Rob Humphreys,3.75,363
793,Best of London,Lonely Planet,3.83,128
815,Three Nights in August,H.G. Bissinger,3.88,287
816,Cryptonomicon,Neal Stephenson,4.25,1139
822,The Confusion,Neal Stephenson,4.26,815
823,Quicksilver,Neal Stephenson,3.93,927
824,The Cobweb,Neal Stephenson,3.61,448
826,The Big U,Neal Stephenson,3.25,308
827,The Diamond Age,Neal Stephenson,4.19,499
828,Interface,Neal Stephenson,3.68,640
829,Odalisque,Neal Stephenson,4.2,464
830,Snow Crash,Neal Stephenson,4.03,438
834,Harrington on Hold 'em,Dan Harrington,4.16,450
840,The Design of Everyday Things,Donald A. Norman,4.17,240
841,Emotional Design,Donald A. Norman,3.95,272
842,The Psychology of Everyday Things,Donald A. Norman,4.17,257
848,No Price Too High,Alex C. Jones,4.27,259
864,The Alchemist,Paulo Coelho,3.86,192
866,Fullmetal Alchemist Vol. 9,Hiromu Arakawa,4.57,192
868,Fullmetal Alchemist Vol. 3,Hiromu Arakawa,4.56,192
869,Fullmetal Alchemist Vol. 8,Hiromu Arakawa,4.57,192
870,Fullmetal Alchemist Vol. 1,Hiromu Arakawa,4.5,192
871,Fullmetal Alchemist Vol. 4,Hiromu Arakawa,4.55,200
872,The Illustrated Alchemist,Paulo Coelho,3.86,198
873,Fullmetal Alchemist Vol. 2,Hiromu Arakawa,4.52,192
880,Pompeii,Robert Harris,3.82,274
888,The Last Days of Pompeii,Edward Bulwer-Lytton,3.6,360
890,Of Mice and Men,John Steinbeck,3.87,103
900,The Game,Neil Strauss,3.74,464
902,The Westing Game,Ellen Raskin,4.02,182
903,The Egypt Game,Zilpha Keatley Snyder,3.83,215
929,Memoirs of a Geisha,Arthur Golden,4.11,503
935,Geisha of Gion,Mineko Iwasaki,3.93,334
941,Love As A Foreign Language #5,J. Torres,3.44,58
944,Jungle Love,Margaret Johnson,3.41,95
955,The 5 Love Languages,Gary Chapman,4.7,0
960,Angels & Demons,Dan Brown,3.89,736
968,The Da Vinci Code,Dan Brown,3.84,489
975,Deception Point,Dan Brown,3.71,736
987,A Killing Rain,P.J. Parrish,4.04,383
998,The Millionaire Next Door,Thomas J. Stanley,4.03,258
1005,Think and Grow Rich,Napoleon Hill,4.18,320
1014,Pragmatic Version Control,Mike Mason,3.58,256
1022,Read My Lips,Riki Anne Wilchins,3.95,288
1032,Trump,Donald J. Trump,3.66,384
1052,The Richest Man in Babylon,George S. Clason,4.26,194
1059,Shibumi,Trevanian,4.21,480
1073,The Crescent Obscured,Robert J. Allison,3.62,284
1078,The Good Earth,Pearl S. Buck,3.98,418
1090,Purpose Driven Life - For Commuters,Rick Warren,3.93,5
1097,Fast Food Nation,Eric Schlosser,3.74,399
1103,Snow Flower and the Secret Fan,Lisa See,4.07,269
1110,The Broker,John Grisham,3.78,422
1111,The Power Broker,Robert A. Caro,4.51,1344
1120,Body For Life,Bill Phillips,3.74,201
1121,Body for Life for Women,Pamela Peeke,3.65,288
1123,Eating for Life,Bill Phillips,3.95,405
1130,The Warren Buffett Way,Robert G. Hagstrom,4.13,245
1138,The Warren Buffett CEO,Robert P. Miles,4.07,432
1164,Monkey Business,Marvin N. Olasky,3.15,368
1167,Junie B. Jones and a Little Monkey Business,Barbara Park,3.99,68
1171,Liar's Poker,Michael Lewis,4.15,256
1188,Risotto,Ursula Ferrigno,4.08,64
1191,Giada's Family Dinners,Giada De Laurentiis,3.96,256
1192,Everyday Italian,Giada De Laurentiis,3.95,256
1193,Everyday Pasta,Giada De Laurentiis,4.09,240
1196,Tyler's Ultimate,Tyler Florence,4.09,256
1197,Tyler Florence's Real Kitchen,Tyler Florence,4.06,304
1198,Eat This Book,Tyler Florence,3.92,287
1202,Freakonomics,Steven D. Levitt,3.97,320
1218,The Last Assassin,Barry Eisler,4.27,338
1226,Life of Pi,Yann Martel,3.91,401
1234,Shadows and Wind,Robert Templer,3.49,400
1241,A Million Little Pieces,James Frey,3.65,515
1242,A Million Little Pieces of Feces,Python Bonkers,3.56,256
1243,A Million Little Lies,James Pinocchio,3.41,191
1246,The Leadership Challenge,James M. Kouzes,4.05,458
1252,Lincoln on Leadership,Donald T. Phillips,4.14,193
1255,Leadership in Organizations,Gary Yukl,3.68,542
1265,Leadership,Rudolph W. Giuliani,3.72,397
1274,Men Are from Mars Women Are from Venus,John Gray,3.55,368
1276,Mars and Venus Book of Days,John Gray,3.62,368
1290,How to Succeed with Women,Ron Louis,3.76,320
1295,The Clan of the Cave Bear,Jean M. Auel,4.05,512
1301,Moneyball,Michael Lewis,4.26,317
1303,The 48 Laws of Power,Robert Greene,4.18,452
1305,Gates of Fire,Steven Pressfield,4.42,392
1307,Fire Sea,Margaret Weis,4.07,414
1312,The Gate of Fire,Thomas Harlan,3.58,721
1315,The Afghan Campaign,Steven Pressfield,3.96,354
1317,Tides of War,Steven Pressfield,3.9,448
1318,Last of the Amazons,Steven Pressfield,3.76,400
1319,The War of Art,Steven Pressfield,4,168
1320,Gita on the Green,Stephen J. Rosen,3.78,176
1322,Blood Stripes,David J. Danelo,3.91,340
1326,Phaedrus and Letters VII and VIII,Plato,4.1,160
1327,Phaedrus,Plato,3.92,128
1334,Lysis,Plato,4.47,157
1337,Enthusiasm and Divine Madness,Josef Pieper,4.5,125
1338,On Love,Plato,4.06,272
1342,Gorgias,Plato,4.35,233
1351,Statesman,Plato,3.85,128
1362,The Histories,Herodotus,3.99,716
1364,The History,Herodotus,3.99,613
1371,The Iliad,Homer,3.86,683
1373,Iliad,Homer,3.86,574
1378,The Essential Iliad,Homer,3.86,216
1381,The Odyssey,Homer,3.76,541
1391,Aeneid,Virgil,4.35,161
1403,City Eclogue,Ed Roberson,4.13,136
1405,The Eclogues and The Georgics,Virgil,3.8,180
1408,Paul Kirk's Championship Barbecue Sauces,Paul Kirk,3.94,272
1417,The Complete Pelican Shakespeare,William Shakespeare,4.5,1808
1419,The Complete Works,William Shakespeare,4.5,1248
1420,Hamlet,William Shakespeare,4.02,289
1423,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,137
1424,The Pilgrimage,Paulo Coelho,3.64,272
1425,The Valkyries,Paulo Coelho,3.31,212
1426,Warrior of the Light,Paulo Coelho,3.7,142
1427,The Zahir,Paulo Coelho,3.57,336
1428,By the River Piedra I Sat Down and Wept,Paulo Coelho,3.57,208
1429,The Fifth Mountain,Paulo Coelho,3.62,256
1431,Veronika Decides to Die,Paulo Coelho,3.7,210
1437,Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,3.69,129
1438,Shakespeare's Hamlet,William Shakespeare,4.02,240
1439,Hamlet's Mill,Giorgio De Santillana,4.29,450
1441,On Justice Power and Human Nature,Thucydides,3.72,172
1445,The Peloponnesian War,Thucydides,3.9,530
1459,History of the Peloponnesian War Bk. 7-8,Thucydides,4.29,480
1461,Thucydides Book 6 Commentary,Cynthia W. Shelmerdine,4.5,34
1462,Euripides I,Euripides,4.03,221
1463,Euripides V,Euripides,4.21,228
1465,Euripides IV,Euripides,4.21,307
1466,Grief Lessons,Anne Carson,4.4,312
1467,Ten Plays,Euripides,4.17,432
1468,Euripides III,Euripides,4,255
1470,Euripides II,Euripides,4.31,264
1473,Medea and Other Plays,Euripides,4.03,206
1476,The Bacchae and Other Plays,Euripides,4.14,360
1479,Bakkhai,Euripides,3.88,160
1480,Plays 1,Euripides,3.78,192
1486,The Trojan Women and Hippolytus,Euripides,3.63,64
1488,The Bacchae of Euripides,Wole Soyinka,3.86,128
1489,Orestes and Other Plays,Euripides,4.1,282
1494,Alcestis,Euripides,3.83,142
1499,Medea,Euripides,3.87,116
1504,Euripides,William Allan,4.04,160
1506,CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,4.2,69
1515,The Complete Greek Tragedies Volume 3,Euripides,4.43,672
1516,Aeschylus I,Aeschylus,4.02,171
1517,Aeschylus II,Aeschylus,4.1,188
1518,The Oresteia,Aeschylus,4.02,304
1521,Oresteia,Aeschylus,4.02,224
1523,Prometheus Bound and Other Plays,Aeschylus,4.1,160
1526,Aeschylus 1,Aeschylus,4.02,178
1527,The Complete Greek Tragedies Volume 1,Aeschylus,4.1,358
1529,Aeschylus,Simon Goldhill,4.03,95
1531,Aeschylus 2,Aeschylus,4.1,232
1532,The Oresteia Trilogy,Aeschylus,4.02,151
1533,The Suppliant Maidens,Aeschylus,4.1,208
1536,Sophocles II,Sophocles,4.14,254
1537,The Oedipus Plays of Sophocles,Sophocles,3.97,288
1538,The Complete Plays,Sophocles,4.27,420
1540,The Oedipus Cycle,Sophocles,3.97,259
1542,The Three Theban Plays,Sophocles,3.97,430
1546,Theban Plays,Sophocles,3.97,304
1547,The Theban Plays,Sophocles,3.97,223
1548,Electra and Other Plays,Sophocles,4.14,218
1549,Antigone; Oedipus the Kingn; Electra,Sophocles,3.94,178
1554,Oedipus Rex,Sophocles,3.7,75
1559,Oedipus the King,Sophocles,3.7,144
1560,Four Plays,Aristophanes,4.06,624
1561,Three Plays by Aristophanes,Aristophanes,3.94,256
1563,Aristophanes 1,Aristophanes,3.83,336
1566,Clouds,Aristophanes,3.77,480
1567,Lysistrata and Other Plays,Aristophanes,3.95,241
1568,Acharnians,Aristophanes,3.42,96
1576,Three Plays,Aristophanes,3.94,224
1577,Four Comedies,Aristophanes,4.03,400
1584,Cliffs Notes on Aristophanes' Lysistrata The Birds The Clouds The Frogs,W. John Campbell,2.8,80
1585,Aristophanes and Athens,Douglas M. MacDowell,4.07,376
1586,Lysistrata,Aristophanes,3.85,98
1590,Peace,Aristophanes,3.6,408
1592,The Knights,Aristophanes,3.69,335
1595,Genres in Dialogue,Andrea Wilson Nightingale,4.33,238
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,226
1620,The Night Gardener,George Pelecanos,3.64,372
1625,Twelfth Night,William Shakespeare,3.98,272
1627,Brokeback Mountain,Annie Proulx,3.94,55
1633,Getting Things Done,David Allen,3.99,267
1634,Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,3.46,176
1645,Money to Burn,Ricardo Piglia,3.76,209
1658,American Government,Karen O'Connor,2.83,664
1664,Essentials of American and Texas Government,Karen O'Connor,3.5,854
1681,The Confessions,Augustine of Hippo,3.92,416
1684,The City of God,Augustine of Hippo,3.92,905
1685,The Enchiridion on Faith Hope and Love,Augustine of Hippo,4.04,144
1686,Augustine of Hippo,Peter R.L. Brown,4.27,576
1693,On Christian Doctrine,Augustine of Hippo,4.03,191
1698,Confessions Books 1-13,Augustine of Hippo,3.92,296
1702,Saint Augustine,Garry Wills,3.55,176
1703,Augustine,Henry Chadwick,3.71,144
1707,On Genesis,Augustine of Hippo,3.94,540
1709,Kitchen Confidential,Anthony Bourdain,4.07,302
1713,The Metamorphoses of Ovid,Ovid,4.05,559
1715,Metamorphoses,Ovid,4.05,723
1720,Ovid's Metamorphoses,Ovid,4.27,584
1721,Ovids Metamorphoses,Ovid,4.32,560
1722,Latin Via Ovid,Norma Goldman,4.36,524
1725,The Art of Love and Other Poems,Ovid,4.02,400
1728,The Poems of Exile,Ovid,4.12,451
1731,Practice,Norma Goldman,4.08,152
1744,Tibullus,Michael C.J. Putnam,3.71,222
1750,Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,440
1752,Antigone,Sophocles,3.64,197
1771,Object-Oriented Programming in C++,Richard Johnsonbaugh,4.07,640
1800,Love Sex & Tragedy,Simon Goldhill,3.79,345
1801,Reading Greek Tragedy,Simon Goldhill,4.12,302
1804,Who Needs Greek,Simon Goldhill,3.4,334
1805,Foucault's Virginity,Simon Goldhill,3.73,212
1815,Breaking Open the Head,Daniel Pinchbeck,4.06,336
1823,Them,Jon Ronson,3.95,336
1824,The Men Who Stare at Goats,Jon Ronson,3.61,259
1839,Guns Germs and Steel,Jared Diamond,4.03,518
1843,Caught Inside,Daniel Duane,3.87,256
1845,Into the Wild,Jon Krakauer,3.98,207
1846,Wild at Heart,John Eldredge,3.92,256
1848,Wild Swans,Jung Chang,4.26,562
1849,Wild Fire,Nelson DeMille,4.01,519
1850,Born to Be Wild,Catherine Coulter,3.78,354
1852,The Call of the Wild,Jack London,3.86,172
1853,Wild About Books,Judy Sierra,4.17,40
1856,In Web Design for Libraries,Charles P. Rubenstein,2.67,196
1869,Nickel and Dimed,Barbara Ehrenreich,3.63,240
1877,The History of Sexuality 1,Michel Foucault,4.04,168
1879,The History of Sexuality Volume 1,Michel Foucault,4.04,168
1883,The History of Sexuality Volume 2,Michel Foucault,4.08,304
1887,The Making of Pride and Prejudice,Sue Birtwistle,4.45,128
1888,Pride and Prejudice,Jane Austen,4.26,333
1889,Pride & Prejudice,Jane Austen,4.26,392
1894,Under the Banner of Heaven,Jon Krakauer,4,399
1896,Iceland,David Roberts,3.71,160
1898,Into Thin Air,Jon Krakauer,4.17,368
1902,In the Land of White Death,Valerian Albanov,4.01,288
1911,The World Is Flat,Thomas L. Friedman,3.68,616
1925,The Avalanche Handbook,David McClung,4.07,342
1931,Avalanche,Arthur J. Roth,3.65,144
1934,Little Women,Louisa May Alcott,4.07,449
1946,Little Women Little Men Jo's Boys,Louisa May Alcott,4.33,1064
1955,A Tale of Two Cities,Charles Dickens,3.84,496
1972,Den of Thieves,James B. Stewart,4.16,592
1982,Charles Dickens,Charles Dickens,4.3,848
1984,Bleak House,Charles Dickens,4.01,887
1985,David Copperfield,Charles Dickens,3.99,928
1987,What Jane Austen Ate and Charles Dickens Knew,Daniel Pool,3.85,416
1990,Martin Chuzzlewit,Charles Dickens,3.83,830
1991,Why Is Sex Fun,Jared Diamond,3.71,176
1993,The Third Chimpanzee,Jared Diamond,4.06,407
1999,J.K.Rowling,Colleen Sexton,3.84,112
2002,Harry Potter Schoolbooks Box Set,J.K. Rowling,4.4,240
2004,J.K. Rowling's Harry Potter Novels,Philip Nel,3.58,96
2010,The Santaroga Barrier,Frank Herbert,3.66,256
2011,The Dosadi Experiment,Frank Herbert,3.81,320
2015,The Eyes of Heisenberg,Frank Herbert,3.43,192
2019,The Birds,Sean O'Brien,2.67,96
2022,The Frogs,Aristophanes,3.8,88
2026,Myths of the Underworld Journey,Radcliffe G. Edmonds III,3.75,276
2028,Assembly of Women,Aristophanes,3.77,124
2043,Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,3.86,127
2045,Later Novels and Other Writings,Raymond Chandler,4.47,1076
2046,Stories and Early Novels,Raymond Chandler,4.5,1199
2048,The Lady in the Lake The Little Sister The Long Goodbye Playback,Raymond Chandler,4.45,1016
2049,The High Window,Raymond Chandler,4.08,265
2051,The Simple Art of Murder,Raymond Chandler,4.16,384
2052,The Big Sleep,Raymond Chandler,4.01,231
2054,The Long Goodbye,Raymond Chandler,4.22,379
2056,An Evening of Long Goodbyes,Paul Murray,3.6,448
2058,Ghost In the Shell 2,Masaki Yamada,3.97,196
2067,Breaking the Spell,Daniel C. Dennett,3.89,448
2068,Darwin's Dangerous Idea,Daniel C. Dennett,4.04,588
2071,Freedom Evolves,Daniel C. Dennett,3.83,368
2072,Brainstorms,Daniel C. Dennett,3.95,424
2074,Kinds of Minds,Daniel C. Dennett,3.82,192
2077,Leaps of Faith,Nicholas Humphrey,3.61,244
2078,Elbow Room,Daniel C. Dennett,3.92,212
2081,The Minds I,Douglas R. Hofstadter,4.14,512
2093,The Illustrated A Brief History of Time,Stephen Hawking,4.17,256
2094,A Briefer History of Time,Stephen Hawking,4.22,176
2095,The Universe in a Nutshell,Stephen Hawking,4.15,216
2096,God Created the Integers,Stephen Hawking,4.07,1160
2099,Stephen Hawking's Universe,David Filkin,4.29,304
